rank,title,artist,lastPos,isNew,image
82,Seven (feat. Latto) - Clean Ver.,정국,83,False,https://cdnimg.melon.co.kr/cm2/album/images/112/86/070/11286070_20230713181059_500.jpg?0b3a98d363e31435d805d60e3041a54b/melon/resize/500/optimize/90
83,보금자리,임영웅,74,False,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg?5bd42dcc031a23cd1cae99ae37a606aa/melon/resize/500/optimize/90
84,취중고백,김민석,86,False,https://cdnimg.melon.co.kr/cm2/album/images/108/16/959/10816959_20211217144957_500.jpg?c1818ddc493cb2bbb4d268431e6de7b5/melon/resize/500/optimize/90
85,Igloo,KISS OF LIFE,85,False,https://cdnimg.melon.co.kr/cm2/album/images/116/07/747/11607747_20241015110919_500.jpg?48a79b7908cf78e9f2b0cbe9973f27f9/melon/resize/500/optimize/90
86,earthquake,지수 (JISOO),79,False,https://cdnimg.melon.co.kr/cm2/album/images/117/15/192/11715192_20250214104332_500.jpg?84bc78ef1ffebfc2347d224b6e64d334/melon/resize/500/optimize/90
87,Sticky,KISS OF LIFE,88,False,https://cdnimg.melon.co.kr/cm2/album/images/115/25/661/11525661_20240628155508_500.jpg?27ba0f088f5a8caa8e3f7c2d78a8bcb8/melon/resize/500/optimize/90
88,클락션 (Klaxon),(여자)아이들,89,False,https://cdnimg.melon.co.kr/cm2/album/images/115/33/515/11533515_20240708112323_500.jpg?2e79752cdadc779a43f0926c0d64dcb8/melon/resize/500/optimize/90
89,Supernatural,NewJeans,93,False,https://cdnimg.melon.co.kr/cm2/album/images/115/14/014/11514014_20240621110830_500.jpg?YUV444/melon/resize/500
90,Love 119,RIIZE,98,False,https://cdnimg.melon.co.kr/cm2/album/images/113/94/065/11394065_20240104151541_500.jpg?04606c8703e5996ebf5ba36dcb1213e1/melon/resize/500/optimize/90
91,사막에서 꽃을 피우듯,우디 (Woody),92,False,https://cdnimg.melon.co.kr/cm2/album/images/112/85/867/11285867_20230713162404_500.jpg?99a13fafd660587d711b4a977ecf3c5e/melon/resize/500/optimize/90
92,Hug (포옹),RIIZE,91,False,https://cdnimg.melon.co.kr/cm2/album/images/116/86/740/11686740_20250107161741_500.jpg?dd3341e31bb9a8878b4743545fac0207/melon/resize/500/optimize/90
93,눈이 오잖아(Feat.헤이즈),이무진,94,False,https://cdnimg.melon.co.kr/cm2/album/images/108/01/677/10801677_20211202181813_500.jpg?0dbebfc379c6b9edd29b9db943c32308/melon/resize/500/optimize/90
94,녹아내려요,DAY6 (데이식스),87,False,https://cdnimg.melon.co.kr/cm2/album/images/115/80/616/11580616_20240830171855_500.jpg?fe64370b201724a4a854615765ed6b71/melon/resize/500/optimize/90
95,To. X,태연 (TAEYEON),97,False,https://cdnimg.melon.co.kr/cm2/album/images/113/72/896/11372896_20231127104957_500.jpg?9ecd4c6c7ed241174aa1a5c27c4ba3c6/melon/resize/500/optimize/90
96,봄날,방탄소년단,95,False,https://cdnimg.melon.co.kr/cm/album/images/100/37/969/10037969_500.jpg?df3750c6152ad5e19ea6773a5faf71ba/melon/resize/500/optimize/90
97,SPOT! (feat. JENNIE),지코 (ZICO),100,False,https://cdnimg.melon.co.kr/cm2/album/images/114/74/894/11474894_20240426103349_500.jpg?7c9dc7eea0ddde58035a451b4469a654/melon/resize/500/optimize/90
98,Boom Boom Bass,RIIZE,0,True,https://cdnimg.melon.co.kr/cm2/album/images/114/56/179/11456179_20240617152303_500.jpg?28378f505af0f85e794c78c7bbd1a9eb/melon/resize/500/optimize/90
99,청바지,부석순 (SEVENTEEN),99,False,https://cdnimg.melon.co.kr/cm2/album/images/116/87/296/11687296_20250108103647_500.jpg?YUV444/melon/resize/500
100,사건의 지평선,윤하 (YOUNHA),96,False,https://cdnimg.melon.co.kr/cm2/album/images/109/03/868/10903868_20220330103544_500.jpg?e89c53bde5d39b21b09e8007db5b9cc0/melon/resize/500/optimize/90
